request_id,model_label,seed,target_passage_tokens,num_needles,query_order,mode,method,observed_signed_relative_error,observed_relative_absolute_error,p_under_oof,p_over_oof,under_magnitude_oof,over_magnitude_oof,predicted_signed_relative_bias,predicted_relative_absolute_error
Qwen3-8B/direct/query_first/T10000_N10_seed1234,Qwen3-8B,1234,10000,10,query_first,direct,selected_hurdle,-0.3,0.3,0.9479809341757168,0.017440377113593378,0.2991647070343031,0.31855951818419137,-0.27804664031652637,0.2891582365770402
Qwen3-8B/direct/query_first/T10000_N10_seed1235,Qwen3-8B,1235,10000,10,query_first,direct,selected_hurdle,-0.2,0.2,0.9479809341757168,0.017440377113593378,0.2991647070343031,0.31855951818419137,-0.27804664031652637,0.2891582365770402
Qwen3-8B/direct/query_first/T10000_N10_seed1236,Qwen3-8B,1236,10000,10,query_first,direct,selected_hurdle,-0.4,0.4,0.9479809341757168,0.017440377113593378,0.2991647070343031,0.31855951818419137,-0.27804664031652637,0.2891582365770402
Qwen3-8B/direct/query_first/T10000_N10_seed1237,Qwen3-8B,1237,10000,10,query_first,direct,selected_hurdle,-0.3,0.3,0.9479809341757168,0.017440377113593378,0.2991647070343031,0.31855951818419137,-0.27804664031652637,0.2891582365770402
Qwen3-8B/direct/query_first/T10000_N10_seed1238,Qwen3-8B,1238,10000,10,query_first,direct,selected_hurdle,-0.3,0.3,0.9479809341757168,0.017440377113593378,0.2991647070343031,0.31855951818419137,-0.27804664031652637,0.2891582365770402
Qwen3-8B/direct/query_first/T10000_N1_seed1234,Qwen3-8B,1234,10000,1,query_first,direct,selected_hurdle,0.0,0.0,0.22461579969794668,7.834798590254617e-08,0.0,0.18272858199771358,1.4316416366349116e-08,1.4316416366349116e-08
Qwen3-8B/direct/query_first/T10000_N1_seed1235,Qwen3-8B,1235,10000,1,query_first,direct,selected_hurdle,0.0,0.0,0.22461579969794668,7.834798590254617e-08,0.0,0.18272858199771358,1.4316416366349116e-08,1.4316416366349116e-08
Qwen3-8B/direct/query_first/T10000_N1_seed1236,Qwen3-8B,1236,10000,1,query_first,direct,selected_hurdle,0.0,0.0,0.22461579969794668,7.834798590254617e-08,0.0,0.18272858199771358,1.4316416366349116e-08,1.4316416366349116e-08
Qwen3-8B/direct/query_first/T10000_N1_seed1237,Qwen3-8B,1237,10000,1,query_first,direct,selected_hurdle,0.0,0.0,0.22461579969794668,7.834798590254617e-08,0.0,0.18272858199771358,1.4316416366349116e-08,1.4316416366349116e-08
Qwen3-8B/direct/query_first/T10000_N1_seed1238,Qwen3-8B,1238,10000,1,query_first,direct,selected_hurdle,0.0,0.0,0.22461579969794668,7.834798590254617e-08,0.0,0.18272858199771358,1.4316416366349116e-08,1.4316416366349116e-08
Qwen3-8B/direct/query_first/T10000_N20_seed1235,Qwen3-8B,1235,10000,20,query_first,direct,selected_hurdle,-0.4,0.4,0.9731973134069594,0.03120874096533875,0.32758664825817796,0.30348000655583385,-0.30933521708008904,0.32827767490560966
Qwen3-8B/direct/query_first/T10000_N20_seed1236,Qwen3-8B,1236,10000,20,query_first,direct,selected_hurdle,-0.4,0.4,0.9731973134069594,0.03120874096533875,0.32758664825817796,0.30348000655583385,-0.30933521708008904,0.32827767490560966
Qwen3-8B/direct/query_first/T10000_N20_seed1237,Qwen3-8B,1237,10000,20,query_first,direct,selected_hurdle,-0.3,0.3,0.9731973134069594,0.03120874096533875,0.32758664825817796,0.30348000655583385,-0.30933521708008904,0.32827767490560966
Qwen3-8B/direct/query_first/T10000_N20_seed1238,Qwen3-8B,1238,10000,20,query_first,direct,selected_hurdle,-0.3,0.3,0.9731973134069594,0.03120874096533875,0.32758664825817796,0.30348000655583385,-0.30933521708008904,0.32827767490560966
Qwen3-8B/direct/query_first/T10000_N2_seed1234,Qwen3-8B,1234,10000,2,query_first,direct,selected_hurdle,0.0,0.0,0.485100423767877,6.030362661535975e-09,0.08080874814805994,0.18060162448628736,-0.039200356881682226,0.039200359059868815
Qwen3-8B/direct/query_first/T10000_N2_seed1235,Qwen3-8B,1235,10000,2,query_first,direct,selected_hurdle,0.0,0.0,0.485100423767877,6.030362661535975e-09,0.08080874814805994,0.18060162448628736,-0.039200356881682226,0.039200359059868815
Qwen3-8B/direct/query_first/T10000_N2_seed1236,Qwen3-8B,1236,10000,2,query_first,direct,selected_hurdle,0.0,0.0,0.485100423767877,6.030362661535975e-09,0.08080874814805994,0.18060162448628736,-0.039200356881682226,0.039200359059868815
Qwen3-8B/direct/query_first/T10000_N2_seed1237,Qwen3-8B,1237,10000,2,query_first,direct,selected_hurdle,0.0,0.0,0.485100423767877,6.030362661535975e-09,0.08080874814805994,0.18060162448628736,-0.039200356881682226,0.039200359059868815
Qwen3-8B/direct/query_first/T10000_N2_seed1238,Qwen3-8B,1238,10000,2,query_first,direct,selected_hurdle,0.0,0.0,0.485100423767877,6.030362661535975e-09,0.08080874814805994,0.18060162448628736,-0.039200356881682226,0.039200359059868815
Qwen3-8B/direct/query_first/T10000_N30_seed1237,Qwen3-8B,1237,10000,30,query_first,direct,selected_hurdle,-0.4666666666666667,0.4666666666666667,0.9920754202155824,0.03614496470181301,0.33527039721128205,0.3108363714689699,-0.3213783505244423,0.3438486898740134
