registered_bank_size,evaluation_scope,analysis_population,grammar_class,arm,metric,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed
32,confirmation,all_examples,pooled,clean,failure_rate,0.0,0.0,0.0,10,87,0.0,1.0
32,confirmation,all_examples,pooled,selected_bank,failure_rate,0.06944444444444445,0.01111111111111111,0.13055555555555556,10,87,0.06896551724137931,1.0
32,confirmation,all_examples,pooled,layer_matched_random_mean,failure_rate,0.015277777777777779,0.0,0.0375,10,87,0.015325670498084292,1.0
32,confirmation,all_examples,pooled,layer_matched_random_repeat_1,failure_rate,0.02222222222222222,0.0,0.06666666666666667,10,87,0.022988505747126436,1.0
32,confirmation,all_examples,pooled,layer_matched_random_repeat_2,failure_rate,0.0125,0.0,0.0375,10,87,0.011494252873563218,1.0
32,confirmation,all_examples,pooled,layer_matched_random_repeat_3,failure_rate,0.01111111111111111,0.0,0.03333333333333333,10,87,0.011494252873563218,1.0
32,confirmation,all_examples,macro_primary_grammars,clean,failure_rate,0.0,0.0,0.0,10,85,0.0,3.0
32,confirmation,all_examples,macro_primary_grammars,selected_bank,failure_rate,0.10027777777777777,0.0125,0.21027777777777779,10,85,0.07058823529411765,3.0
32,confirmation,all_examples,macro_primary_grammars,layer_matched_random_mean,failure_rate,0.008703703703703705,0.0,0.021111111111111115,10,85,0.015686274509803925,3.0
32,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_1,failure_rate,0.01,0.0,0.030000000000000006,10,85,0.023529411764705882,3.0
32,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_2,failure_rate,0.01111111111111111,0.0,0.03333333333333333,10,85,0.011764705882352941,3.0
32,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_3,failure_rate,0.005,0.0,0.015000000000000003,10,85,0.011764705882352941,3.0
32,confirmation,all_examples,adjacent_rank_after_city,clean,failure_rate,0.0,0.0,0.0,10,45,0.0,1.0
32,confirmation,all_examples,adjacent_rank_after_city,selected_bank,failure_rate,0.07333333333333333,0.0,0.18,10,45,0.06666666666666667,1.0
32,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_mean,failure_rate,0.03111111111111111,0.0,0.08,10,45,0.029629629629629634,1.0
32,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_1,failure_rate,0.04,0.0,0.12000000000000002,10,45,0.044444444444444446,1.0
32,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_2,failure_rate,0.03333333333333333,0.0,0.1,10,45,0.022222222222222223,1.0
32,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_3,failure_rate,0.02,0.0,0.06000000000000001,10,45,0.022222222222222223,1.0
32,confirmation,all_examples,adjacent_rank_before_city,clean,failure_rate,0.0,0.0,0.0,8,19,0.0,1.0
32,confirmation,all_examples,adjacent_rank_before_city,selected_bank,failure_rate,0.0,0.0,0.0,8,19,0.0,1.0
32,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,8,19,0.0,1.0
32,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,8,19,0.0,1.0
32,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,8,19,0.0,1.0
32,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,8,19,0.0,1.0
32,confirmation,all_examples,evidence_sequence_unranked,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
32,confirmation,all_examples,evidence_sequence_unranked,selected_bank,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
32,confirmation,all_examples,evidence_sequence_unranked,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
32,confirmation,all_examples,evidence_sequence_unranked,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
