model_label,seed,gold_count,condition,occurrence,carrier_component,patch_token_count,candidate_prediction,expected_count,greedy_prediction,restored_target_probability,restored_target_margin
Gemma4-E4B,1258,10,full_item_restore,1,marker_core,29,1,3.0958542962476936,,0.53387386,1.2438955299999996
Gemma4-E4B,1258,10,full_item_restore,2,marker_core,29,1,3.014942475231973,,0.0866783521,-1.7763585800000001
Gemma4-E4B,1258,10,full_item_restore,3,marker_core,29,1,3.2685043963828817,,0.121437188,-1.3682651099999994
Gemma4-E4B,1258,10,full_item_restore,4,marker_core,30,1,3.35629981224201,,0.0159568691,-3.3653983600000004
Gemma4-E4B,1258,10,full_item_restore,5,marker_core,31,1,3.2164935684445433,,0.00823310303,-4.09755421
Gemma4-E4B,1258,10,full_item_restore,6,marker_core,30,1,3.34599694816833,,0.157759957,-1.1170282399999998
Gemma4-E4B,1258,10,full_item_restore,7,marker_core,29,1,2.973552818797419,,0.0207007169,-3.3222732200000014
Gemma4-E4B,1258,10,full_item_restore,8,marker_core,32,1,3.5090165404817513,,0.177931333,-0.9753408399999994
Gemma4-E4B,1258,10,full_item_restore,9,marker_core,29,1,3.396091545070871,9,0.0476828958,-2.3768987900000003
Gemma4-E4B,1258,10,full_item_restore,10,marker_core,30,1,3.047633834590905,10,0.0398312465,-2.645259809999999
Gemma4-E4B,1258,10,counter_carrier_restore,1,marker_core,4,1,3.2151556932747183,,0.505291255,1.1709212999999998
Gemma4-E4B,1258,10,counter_carrier_restore,2,marker_core,4,1,3.3077598365828074,,0.0734087596,-1.9286051000000004
Gemma4-E4B,1258,10,counter_carrier_restore,3,marker_core,4,1,3.122010650389114,,0.119887748,-1.4472970499999995
Gemma4-E4B,1258,10,counter_carrier_restore,4,marker_core,4,1,2.986673924282369,,0.0150901901,-3.6264962999999995
Gemma4-E4B,1258,10,counter_carrier_restore,5,marker_core,4,1,3.3412107987912485,,0.007835875,-4.12099937
Gemma4-E4B,1258,10,counter_carrier_restore,6,marker_core,4,1,3.419807107154154,,0.186553224,-0.9236316599999999
Gemma4-E4B,1258,10,counter_carrier_restore,7,marker_core,4,1,3.3746794552054977,,0.0250918886,-2.9715318699999997
Gemma4-E4B,1258,10,counter_carrier_restore,8,marker_core,4,1,3.629647292945258,,0.215802801,-0.7671203599999998
Gemma4-E4B,1258,10,counter_carrier_restore,9,marker_core,4,1,3.387116350924038,,0.0515268294,-2.270727129999999
Gemma4-E4B,1258,10,counter_carrier_restore,10,marker_core,5,1,2.833006404371484,,0.0236440575,-3.2298527099999994
Gemma4-E4B,1258,10,counter_carrier_matched_control,1,marker_core,4,1,3.384764602387946,,0.468013879,1.2620449600000008
Gemma4-E4B,1258,10,counter_carrier_matched_control,2,marker_core,4,1,3.4583450473056017,,0.0748714364,-1.7422628700000011
Gemma4-E4B,1258,10,counter_carrier_matched_control,3,marker_core,4,1,3.89479872192549,,0.12837915,-1.08822915
Gemma4-E4B,1258,10,counter_carrier_matched_control,4,marker_core,4,1,3.690410026764405,,0.0189372912,-3.0583095500000006
Gemma4-E4B,1258,10,counter_carrier_matched_control,5,marker_core,4,1,3.9963974065406087,,0.0066624035,-3.9786005400000004
Gemma4-E4B,1258,10,counter_carrier_matched_control,6,marker_core,4,1,4.015791669947288,,0.170017033,-0.7537593600000001
Gemma4-E4B,1258,10,counter_carrier_matched_control,7,marker_core,4,1,3.985929639676824,,0.0357212564,-2.3291015700000006
Gemma4-E4B,1258,10,counter_carrier_matched_control,8,marker_core,4,1,4.15936795131205,,0.178002771,-0.7049845999999995
Gemma4-E4B,1258,10,counter_carrier_matched_control,9,marker_core,4,1,4.516954372446364,,0.0516179182,-1.6696910999999997
Gemma4-E4B,1258,10,counter_carrier_matched_control,10,marker_core,5,1,4.23955690782064,,0.0104227847,-3.3755951
