model,top_k,endpoint,seed_clusters,ranked_mean,random_mean,ranked_minus_random,ci95_low,ci95_high,signflip_p,holm_p_within_model_endpoint,holm_significant_0_05
Qwen3-8B,1,all_absolute_error_increase,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
Qwen3-8B,1,correct_to_wrong_rate,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
Qwen3-8B,2,all_absolute_error_increase,20,-0.01,0.0,-0.01,-0.030000000000000006,0.0,1.0,1.0,False
Qwen3-8B,2,correct_to_wrong_rate,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
Qwen3-8B,4,all_absolute_error_increase,20,-0.02,-0.003333333333333333,-0.01666666666666667,-0.05,0.013333333333333332,0.3741281293593532,1.0,False
Qwen3-8B,4,correct_to_wrong_rate,20,0.0,0.004166666666666667,-0.004166666666666667,-0.0125,0.0,1.0,1.0,False
Qwen3-8B,8,all_absolute_error_increase,20,-0.02,-0.003333333333333333,-0.01666666666666667,-0.04,0.003333333333333333,0.2496837515812421,1.0,False
Qwen3-8B,8,correct_to_wrong_rate,20,0.0,0.008333333333333333,-0.008333333333333333,-0.025,0.0,1.0,1.0,False
Qwen3-8B,16,all_absolute_error_increase,20,0.01,-0.006666666666666665,0.01666666666666667,-0.01,0.05000000000000001,0.5007124964375178,1.0,False
Qwen3-8B,16,correct_to_wrong_rate,20,0.02,0.010833333333333334,0.00916666666666667,-0.0125,0.04000000000000001,1.0,1.0,False
Qwen3-8B,32,all_absolute_error_increase,20,0.05,-0.013333333333333332,0.06333333333333332,-0.0066666666666666706,0.14,0.13873430632846837,0.8324058379708101,False
Qwen3-8B,32,correct_to_wrong_rate,20,0.0925,0.023333333333333334,0.06916666666666667,-0.0016666666666666663,0.14916666666666664,0.15644921775391124,0.9386953065234674,False
Gemma4-E4B,1,all_absolute_error_increase,20,0.0,0.0,0.0,-0.020000000000000004,0.020000000000000004,1.0,1.0,False
Gemma4-E4B,1,correct_to_wrong_rate,20,0.01,0.008888888888888887,0.0011111111111111126,-0.016666666666666666,0.020000000000000004,1.0,1.0,False
Gemma4-E4B,2,all_absolute_error_increase,20,-0.01,0.003333333333333334,-0.013333333333333336,-0.03333333333333334,0.003333333333333333,0.37289813550932244,1.0,False
Gemma4-E4B,2,correct_to_wrong_rate,20,0.0,0.014444444444444444,-0.014444444444444444,-0.039999999999999994,0.0,0.4996475017624912,1.0,False
Gemma4-E4B,4,all_absolute_error_increase,20,0.02,-0.013333333333333332,0.03333333333333334,-5.551115123125783e-18,0.06999999999999999,0.12365938170309149,0.6182969085154575,False
Gemma4-E4B,4,correct_to_wrong_rate,20,0.057499999999999996,0.027222222222222224,0.030277777777777782,-0.005555555555555555,0.0775,0.25021374893125536,1.0,False
Gemma4-E4B,8,all_absolute_error_increase,20,0.009999999999999992,1.3877787807814458e-18,0.009999999999999992,-0.08666666666666667,0.12666666666666665,0.9276153619231904,1.0,False
Gemma4-E4B,8,correct_to_wrong_rate,20,0.12666666666666665,0.08027777777777778,0.04638888888888888,0.006666666666666665,0.09222222222222223,0.06328468357658212,0.3164234178829106,False
Gemma4-E4B,16,all_absolute_error_increase,20,0.05,0.020000000000000004,0.030000000000000006,-0.003333333333333334,0.06333333333333334,0.16827915860420697,0.6731166344168279,False
Gemma4-E4B,16,correct_to_wrong_rate,20,0.11416666666666667,0.07472222222222222,0.03944444444444445,-0.02333333333333333,0.12444444444444447,0.38471307643461783,1.0,False
Gemma4-E4B,32,all_absolute_error_increase,20,0.1,0.30333333333333334,-0.2033333333333333,-0.2966666666666667,-0.10999999999999999,0.0007049964750176249,0.004229978850105749,True
Gemma4-E4B,32,correct_to_wrong_rate,20,0.10166666666666666,0.2286111111111111,-0.12694444444444447,-0.2058333333333333,-0.04972222222222221,0.006054969725151374,0.03632981835090825,True
