model_label,held_out_seed,selected_candidate,mae,rmse,mean_residual,raw_scale_mae,raw_scale_rmse
Qwen3-8B,1234,condition_only,0.8606721071850417,1.5283960943943802,-0.04312655257316778,56.7282285146942,207.00372817569445
Qwen3-8B,1235,condition_only,0.8260319958827939,1.5266096976940764,-0.02464758653274539,47.387300515698506,184.5202349599219
Qwen3-8B,1236,condition_only,0.800528361183301,1.4126804554991503,-0.0014247173275565325,52.26214791128812,190.28264865330175
Qwen3-8B,1237,condition_only,0.8141451215621638,1.400398801729789,0.22821637059140043,69.56151918370497,248.48273268164164
Qwen3-8B,1238,condition_only,0.8419239469254137,1.515048149569905,-0.15989490094644007,37.960735157799256,133.64258021615447
Qwen3-1.7B,1234,raw_separable,1.450934648452342,2.064163617829064,0.6567812883841552,39.72277462191379,103.67053267528114
Qwen3-1.7B,1235,raw_separable,1.4257917897731294,1.905787569300848,-0.8419552436196317,17.810866344003735,48.446555974802074
Qwen3-1.7B,1236,raw_separable,1.461323758796581,1.9921844052258875,0.29571352338618156,50.282463131390315,139.0293851059112
Qwen3-1.7B,1237,raw_separable,1.3147789772604235,1.8795406763761802,0.12182307458943678,27.309817676065293,86.58383295806283
Qwen3-1.7B,1238,raw_separable,1.385069213777879,1.9522646568246982,-0.23020214373347228,22.458438926937205,66.18410007671515
Qwen3-32B,1234,condition_only,0.8844354482817943,1.5967452084519762,0.09197584971103304,63.15677143598774,264.2608422408885
Qwen3-32B,1235,condition_only,0.883276878264673,1.5755934706309367,-0.24637195489885927,37.58043903427501,166.11018213045978
Qwen3-32B,1236,condition_only,0.9410762691158379,1.7639177424477668,0.47043490958173895,105.38408324990968,367.8863090754255
Qwen3-32B,1237,condition_only,0.9110074705258852,1.617986012398229,0.17112997508404362,68.39655644613534,274.1361807969409
Qwen3-32B,1238,condition_only,0.9273605640032334,1.6632446098989488,-0.48135240651723094,22.66452678475388,113.08404586434956
Gemma4-E4B,1234,log_interaction,0.5456412580228143,1.0535992297411858,0.163341073516008,14.42916527723917,177.29712132979373
Gemma4-E4B,1235,log_interaction,0.49492620820083705,0.6792083119495729,0.016586618798222413,0.7705064376496269,1.3812163942946305
Gemma4-E4B,1236,raw_separable,0.5427787963731027,0.9551005213059295,-0.12227948441785734,7.573307804029336,63.13490511783291
Gemma4-E4B,1237,log_interaction,0.5260073508922141,1.034595406669374,0.09144787091693728,6.93954808524903,47.9101705227259
Gemma4-E4B,1238,log_interaction,0.42359337517590945,0.5811398096942761,-0.15817728708128073,0.701816889898485,1.562614409138594
Gemma4-12B,1234,condition_only,0.15739349829228708,0.44035718656409595,-0.046924174109424704,0.25962119076258716,1.0161582831885214
Gemma4-12B,1235,condition_only,0.1334881923103979,0.38610793724732007,0.02502898520150691,0.20507789816819624,0.8942080012238394
Gemma4-12B,1236,condition_only,0.10941180801475524,0.2959748680892416,-0.025223606223750604,0.15948263719734368,0.7605035367156769
Gemma4-12B,1237,condition_only,0.1611863093753048,0.49465351631362525,0.1430641243831329,0.36345016329248064,2.1903594685179715
Gemma4-12B,1238,condition_only,0.19753936290086999,0.5026949068322779,-0.09681323802819818,0.3228482558661048,1.1926865579482246
OLMo-Hybrid-7B,1234,raw_separable,1.7964395581807737,2.2705346853717017,-0.3302620932697916,38.62198137329722,140.24592398208648
OLMo-Hybrid-7B,1235,condition_only,1.6660023242072115,2.027705990164653,-0.7056175942247517,17.51925422258887,85.81393983435024
OLMo-Hybrid-7B,1236,condition_only,2.226203429597335,3.0640486099590265,1.0568227583856091,137.23072888666863,305.2326808997935
OLMo-Hybrid-7B,1237,condition_only,1.8470366484184895,2.4085540876055958,0.17454497011280912,68.63575373304072,197.23707994271373
OLMo-Hybrid-7B,1238,condition_only,1.8738253335322734,2.4385734795486753,-0.16357178113548418,54.43304592570059,142.53774687537717
Llama3.1-8B,1234,log_interaction,0.824442938316741,1.1739445663160117,-0.17819813328338435,4.372223634653362,21.037990956693722
Llama3.1-8B,1235,raw_separable,0.9804480818958458,1.3408303832874409,0.053160243702936705,5.26693998147061,22.36246768422082
Llama3.1-8B,1236,raw_separable,1.379226340404617,2.129074746655704,0.5609437620657344,31.489021147440365,91.2478999673126
Llama3.1-8B,1237,raw_separable,0.9451804584820644,1.1607833568401358,-0.24112225203359666,2.9719723393665713,13.936646594033165
Llama3.1-8B,1238,raw_separable,0.8186076822660288,1.0660987767815144,-0.2497197511466285,3.8144694041769593,21.411462592753367
Llama3.2-3B,1234,raw_separable,1.5342023246501382,1.8740091073642227,0.12048239599464787,50.459928911087495,114.82912686623877
Llama3.2-3B,1235,raw_separable,1.97447713924285,2.4067423797040832,0.2732804123881228,44.62749309597591,127.47743816267644
Llama3.2-3B,1236,raw_separable,1.5443712585236833,1.975268381248266,0.10205537227591666,42.803448443062535,157.6325830891652
Llama3.2-3B,1237,raw_separable,1.4258246277831716,1.8471994320016218,0.1451930398984638,48.08735408824337,128.0485914239864
Llama3.2-3B,1238,raw_separable,1.6541281534175072,2.2242953355747686,-0.6235446504936509,43.54245459751254,96.40267344293946
