model_label,error_category,request_id,prompt_mode,query_order,target_passage_tokens,num_needles,gold_count,predicted_count,signed_error,finish_reason,output_tokens,raw_output_excerpt
Qwen3-32B,overcount,Qwen3-32B/enumeration/query_first/T2000_N30_seed1234,enumeration,query_first,2000,30,30,2346.0,2316.0,stop,294,1. Rome: 92 2. Singapore: 60 3. Vienna: 72 4. Kaohsiung: 64 5. Stockholm: 89 6. Karachi: 87 7. Tbilisi: 67 8. Wuhan: 100 9. Phnom Penh: 58 10. Barcelona: 98 11. Bengaluru: 80 12. Baku: 90 13. Sao Paulo: 95 1 … eb: 86 19. Vientiane: 85 20. Astana: 51 21. Harbin: 55 22. Lyon: 91 23. Kyoto: 66 24. Tokyo: 93 25. Hangzhou: 69 26. Copenhagen: 81 27. Dublin: 82 28. Guangzhou: 96 29. Chicago: 56 30. Almaty: 78 Total: 2346
Gemma4-E4B,truncation,Gemma4-E4B/native_thinking/query_first/T10000_N5_seed1237,native_thinking,query_first,10000,5,5,,,length,4096,"<|channel>thought The user wants me to count the number of ""city-score audit records"" in the provided passage. A city-score audit record is defined as a statement that names one city and gives that city's nu … re explicitly tested: startups come to them and they have to say yes or no, and then, fairly quickly, they learn whether they guessed right. The investors who say no to a Google (and there were several) will"
Gemma4-E4B,undercount,Gemma4-E4B/direct/query_last/T10000_N30_seed1237,direct,query_last,10000,30,30,17.0,-13.0,stop,6,Total: 17
Gemma4-E4B,overcount,Gemma4-E4B/enumeration/query_first/T5000_N30_seed1234,enumeration,query_first,5000,30,30,2348.0,2318.0,stop,280,1. Rome: 92 2. Singapore: 60 3. Vienna: 72 4. Kaohsiung: 64 5. Stockholm: 89 6. Karachi: 87 7. Tbilisi: 67 8. Wuhan: 100 9. Phnom Penh: 58 10. Barcelona: 98 11. Bengaluru: 80 12. Baku: 90 13. Sao Paulo: 95 1 … eb: 86 19. Vientiane: 85 20. Astana: 51 21. Harbin: 55 22. Lyon: 91 23. Kyoto: 66 24. Tokyo: 93 25. Hangzhou: 69 26. Copenhagen: 81 27. Dublin: 82 28. Guangzhou: 96 29. Chicago: 56 30. Almaty: 78 Total: 2348
Gemma4-12B,truncation,Gemma4-12B/native_thinking/query_first/T10000_N10_seed1237,native_thinking,query_first,10000,10,10,,,length,4096,"<|channel>thought The goal is to count the number of ""city-score audit records"" in the provided passage. * A city-score audit record names one city and gives that city's numeric score. * ""In the 2024 city sc … to 100 (Block 3) 23. Stockholm 96 (Block 3) 24. Prague 78 (Block 3) 25. Dublin 70 (Block 3) 26. Krakow 76 (Block 3) *Total Block 3: 8* 27. Madrid 52 (Block 4) 28. Yangon 86 (Block 4) 29. Hangzhou 97 (Block 4"
Gemma4-12B,parse_failure,Gemma4-12B/enumeration/query_last/T10000_N30_seed1236,enumeration,query_last,10000,30,30,,,stop,257,1. Shanghai: 63 2. Sarajevo: 82 3. Bucharest: 81 4. Hyderabad: 61 5. Tallinn: 93 6. Bangkok: 92 7. Chicago: 52 8. Almaty: 57 9. Copenhagen: 87 10. Belgrade: 62 11. Kathmandu: 68 12. Bengaluru: 88 13. Tbilisi … 3 17. Mumbai: 67 18. Karachi: 79 19. Manila: 84 20. Seoul: 86 21. Prague: 75 22. Los Angeles: 91 23. Hong Kong: 74 24. Beijing: 51 25. Sofia: 70 26. Istanbul: 65 27. Vientiane: 54 28. Astana: 58 29. Lima: 55
Gemma4-12B,undercount,Gemma4-12B/enumeration/query_last/T10000_N30_seed1238,enumeration,query_last,10000,30,30,20.0,-10.0,stop,182,1. Lima: 61 2. Busan: 95 3. Singapore: 93 4. Nanjing: 96 5. Kaohsiung: 100 6. Nagoya: 97 7. New York: 62 8. Barcelona: 88 9. Rome: 94 10. Bangkok: 60 11. Osaka: 64 12. Beijing: 87 13. Karachi: 76 14. Islamabad: 89 15. Sarajevo: 50 16. Prague: 90 17. Hyderabad: 58 18. Lahore: 82 19. Zagreb: 80 20. Riga: 81 Total: 20
Gemma4-12B,overcount,Gemma4-12B/enumeration/query_last/T5000_N5_seed1237,enumeration,query_last,5000,5,5,25.0,20.0,stop,242,1. Brussels: 56 2. Almaty: 67 3. Osaka: 85 4. Kaohsiung: 87 5. Toronto: 76 6. Brussels: 56 7. Almaty: 67 8. Osaka: 85 9. Kaohsiung: 87 10. Toronto: 76 11. Brussels: 56 12. Almaty: 67 13. Osaka: 85 14. Kaohsiung: 87 15. Toronto: 76 16. Brussels: 56 17. Almaty: 67 18. Osaka: 85 19. Kaohsiung: 87 20. Toronto: 76 21. Brussels: 56 22. Almaty: 67 23. Osaka: 85 24. Kaohsiung: 87 25. Toronto: 76 Total: 25
OLMo-Hybrid-7B,truncation,OLMo-Hybrid-7B/enumeration/query_first/T10000_N20_seed1234,enumeration,query_first,10000,20,20,,,length,1536,68. Kathmandu: 68 84. Reykjavik: 84 71. Islamabad: 71 81. Macau: 81 87. Kuala Lumpur: 87 79. Oslo: 79 82. Los Angeles: 82 88. Hanoi: 88 62. Budapest: 62 56. Stockholm: 56 54. Lima: 54 58. Dhaka: 58 95. Jakar … noi: 88 62. Budapest: 62 56. Stockholm: 56 54. Lima: 54 58. Dhaka: 58 95. Jakarta: 95 90. Beijing: 90 60. Belgrade: 60 85. Almaty: 85 67. Zurich: 67 88. Hanoi: 88 62. Budapest: 62 56. Stockholm: 56 54. Lima:
OLMo-Hybrid-7B,parse_failure,OLMo-Hybrid-7B/enumeration/query_first/T5000_N5_seed1235,enumeration,query_first,5000,5,5,,,stop,60,"2024 city score audit, Vilnius: 86 2024 city score audit, Madrid: 61 2024 city score audit, Tokyo: 60 2024 city score audit, Reykjavik: 55 2024 city score audit, Chicago: 75"
OLMo-Hybrid-7B,undercount,OLMo-Hybrid-7B/direct/query_first/T2000_N30_seed1236,direct,query_first,2000,30,30,20.0,-10.0,stop,5,Total: 20
OLMo-Hybrid-7B,overcount,OLMo-Hybrid-7B/enumeration/query_last/T10000_N30_seed1236,enumeration,query_last,10000,30,30,1218.0,1188.0,stop,158,1. Shanghai: 63 2. Sarajevo: 82 3. Bucharest: 81 4. Hyderabad: 61 5. Tallinn: 93 6. Bangkok: 92 7. Chicago: 52 8. Almaty: 57 9. Copenhagen: 87 10. Belgrade: 62 11. Manila: 84 12. Guangzhou: 94 13. Osaka: 83 14. Mumbai: 67 15. Istanbul: 65 16. Seoul: 86 17. Prague: 75 18. Taipei: 64 19. Tbilisi: 89 20. Vientiane: 54 Total: 1218
Llama3.1-8B,truncation,Llama3.1-8B/enumeration/query_first/T2000_N1_seed1234,enumeration,query_first,2000,1,1,,,length,1536,1. Tokyo: 94 2. New York: 0 3. New York: 0 4. New York: 0 5. New York: 0 6. New York: 0 7. New York: 0 8. New York: 0 9. New York: 0 10. New York: 0 11. New York: 0 12. New York: 0 13. New York: 0 14. New Yo … 181. New York: 0 182. New York: 0 183. New York: 0 184. New York: 0 185. New York: 0 186. New York: 0 187. New York: 0 188. New York: 0 189. New York: 0 190. New York: 0 191. New York: 0 192. New York: 0 193
Llama3.1-8B,parse_failure,Llama3.1-8B/enumeration/query_last/T10000_N30_seed1235,enumeration,query_last,10000,30,30,,,stop,961,"1. 1. Astana: 66 2. 2. Hyderabad: 59 3. 3. Islamabad: 68 4. 4. Antwerp: 75 5. 5. Xi’an: 67 6. 6. Barcelona: 83 7. 7. Sapporo: 76 8. 8. Shanghai: 98 9. 9. Prague: 69 10. 10. Singapore: 74 11. 11. Almaty: 80 1 … ty score audit, Phnom Penh received a score of 91. 57. 57. In the 2024 city score audit, Hangzhou received a score of 54. 58. 58. In the 2024 city score audit, Amsterdam received a score of 79. 59. Total: 59"
Llama3.1-8B,undercount,Llama3.1-8B/direct/query_first/T10000_N30_seed1235,direct,query_first,10000,30,30,0.0,-30.0,stop,5,Total: 0
Llama3.1-8B,overcount,Llama3.1-8B/enumeration/query_last/T2000_N6_seed1236,enumeration,query_last,2000,6,6,336.0,330.0,stop,72,1. 1. Almaty: 84 2. 2. Yerevan: 52 3. 3. Mumbai: 60 4. 4. Baku: 100 5. 5. Geneva: 51 6. 6. Sapporo: 79 Total: 336
Llama3.2-3B,truncation,Llama3.2-3B/enumeration/query_first/T2000_N1_seed1235,enumeration,query_first,2000,1,1,,,length,1536,1. Vilnius: 100 2. Vilnius: 100 3. Vilnius: 100 4. Vilnius: 100 5. Vilnius: 100 6. Vilnius: 100 7. Vilnius: 100 8. Vilnius: 100 9. Vilnius: 100 10. Vilnius: 100 11. Vilnius: 100 12. Vilnius: 100 13. Vilnius: …  Vilnius: 100 161. Vilnius: 100 162. Vilnius: 100 163. Vilnius: 100 164. Vilnius: 100 165. Vilnius: 100 166. Vilnius: 100 167. Vilnius: 100 168. Vilnius: 100 169. Vilnius: 100 170. Vilnius: 100 171. Vilnius:
Llama3.2-3B,parse_failure,Llama3.2-3B/enumeration/query_first/T2000_N1_seed1237,enumeration,query_first,2000,1,1,,,stop,691,1. Vientiane: 77 2. Vientiane: 77 3. Vientiane: 77 4. Vientiane: 77 5. Vientiane: 77 6. Vientiane: 77 7. Vientiane: 77 8. Vientiane: 77 9. Vientiane: 77 10. Vientiane: 77 11. Vientiane: 77 12. Vientiane: 77  … Vientiane: 77 67. Vientiane: 77 68. Vientiane: 77 69. Vientiane: 77 70. Vientiane: 77 71. Vientiane: 77 72. Vientiane: 77 73. Vientiane: 77 74. Vientiane: 77 75. Vientiane: 77 76. Vientiane: 77 77. Total: 77
Llama3.2-3B,undercount,Llama3.2-3B/direct/query_first/T10000_N20_seed1235,direct,query_first,10000,20,20,1.0,-19.0,stop,5,Total: 1
Llama3.2-3B,overcount,Llama3.2-3B/enumeration/query_first/T5000_N3_seed1235,enumeration,query_first,5000,3,3,924.0,921.0,stop,321,1. New York: 92 2. Los Angeles: 89 3. Chicago: 85 4. Houston: 82 5. Phoenix: 79 6. Philadelphia: 76 7. San Antonio: 74 8. San Diego: 72 9. Dallas: 70 10. San Jose: 68 11. Austin: 65 12. Jacksonville: 62 13.  … : 22 33. Miami: 20 34. Oakland: 18 35. Minneapolis: 16 36. Tulsa: 14 37. Virginia Beach: 12 38. New Orleans: 10 39. Hartford: 8 40. Albuquerque: 6 41. Raleigh: 4 42. Long Beach: 2 43. St. Louis: 0 Total: 924
