model_label,seed,gold_count,condition,occurrence,carrier_component,patch_token_count,candidate_prediction,expected_count,greedy_prediction,restored_target_probability,restored_target_margin
Qwen3-8B,1254,10,full_item_restore,1,marker_core,38,9,8.664369827159993,,0.038724583,-3.2022075999999977
Qwen3-8B,1254,10,full_item_restore,2,marker_core,35,9,8.567928646851461,,0.00767355145,-4.809280399999999
Qwen3-8B,1254,10,full_item_restore,3,marker_core,20,9,7.569752697616065,,0.00330017576,-5.505464499999995
Qwen3-8B,1254,10,full_item_restore,4,marker_core,15,9,7.247751214671631,,0.000600908915,-7.160215300000004
Qwen3-8B,1254,10,full_item_restore,5,marker_core,16,9,7.306091020493551,,6.63247832e-05,-9.376785299999998
Qwen3-8B,1254,10,full_item_restore,6,marker_core,14,9,8.03419812212804,,0.00013073134,-8.8056831
Qwen3-8B,1254,10,full_item_restore,7,marker_core,12,9,6.5924888657036975,,0.000430743135,-7.376604099999998
Qwen3-8B,1254,10,full_item_restore,8,marker_core,13,9,8.448079741316517,,0.000407409718,-7.7307929999999985
Qwen3-8B,1254,10,full_item_restore,9,marker_core,16,9,8.618766325615725,,0.937703393,3.036409299999999
Qwen3-8B,1254,10,full_item_restore,10,marker_core,19,9,6.214848770270093,1000000000000000,0.017991187,-3.552791599999999
Qwen3-8B,1254,10,counter_carrier_restore,1,marker_core,3,1,3.578906758472854,,0.657087542,0.7276287000000004
Qwen3-8B,1254,10,counter_carrier_restore,2,marker_core,3,9,6.583822993583619,,0.0476795562,-2.6710338
Qwen3-8B,1254,10,counter_carrier_restore,3,marker_core,1,9,5.033334918298632,,0.00162200478,-5.720706900000003
Qwen3-8B,1254,10,counter_carrier_restore,4,marker_core,1,9,5.6610856906382585,,0.000400331939,-7.271814399999997
Qwen3-8B,1254,10,counter_carrier_restore,5,marker_core,1,9,5.299607615271624,,5.48493581e-05,-9.178478300000002
Qwen3-8B,1254,10,counter_carrier_restore,6,marker_core,1,9,7.311222585060939,,7.10569666e-05,-9.308944700000001
Qwen3-8B,1254,10,counter_carrier_restore,7,marker_core,1,9,6.051046737168947,,0.000247897826,-7.8343982000000025
Qwen3-8B,1254,10,counter_carrier_restore,8,marker_core,1,9,6.748105785819871,,0.000929155642,-6.644395899999999
Qwen3-8B,1254,10,counter_carrier_restore,9,marker_core,1,9,7.4471595457449,,0.801975199,1.4717426000000025
Qwen3-8B,1254,10,counter_carrier_restore,10,marker_core,3,9,5.471571244357688,,0.00364923835,-5.0213623
Qwen3-8B,1254,10,counter_carrier_matched_control,1,marker_core,3,1,4.650228910387118,,0.518704174,0.14446640000000244
Qwen3-8B,1254,10,counter_carrier_matched_control,2,marker_core,3,9,5.775371198779494,,0.0295040988,-2.9930152999999997
Qwen3-8B,1254,10,counter_carrier_matched_control,3,marker_core,1,9,5.600906054963659,,0.00168121321,-5.8259373
Qwen3-8B,1254,10,counter_carrier_matched_control,4,marker_core,1,9,7.00861270029146,,0.000211606146,-8.169807500000001
Qwen3-8B,1254,10,counter_carrier_matched_control,5,marker_core,1,9,6.824371460787421,,2.24164078e-05,-10.3828831
Qwen3-8B,1254,10,counter_carrier_matched_control,6,marker_core,1,9,7.310443409081261,,5.22255176e-05,-9.617666299999996
Qwen3-8B,1254,10,counter_carrier_matched_control,7,marker_core,1,9,6.280680858151651,,0.000226243645,-7.9719753
Qwen3-8B,1254,10,counter_carrier_matched_control,8,marker_core,1,9,6.3773484789661525,,0.000975675259,-6.5253944
Qwen3-8B,1254,10,counter_carrier_matched_control,9,marker_core,1,9,5.476997815145278,,0.554682996,0.26368710000000206
Qwen3-8B,1254,10,counter_carrier_matched_control,10,marker_core,3,9,5.37788359629149,,0.00269298796,-5.295021099999996
